word,pos
brocade,noun
rib,verb
knit stitch,noun
wincey,noun
weft,noun
dust,verb
wash,noun
bag,verb
haircloth,noun
mizzen course,noun
rainproof,adj
